steering,acceleration,sensor_hit_0,sensor_hit_1,sensor_hit_2,sensor_hit_3,sensor_hit_4,sensor_hit_5,sensor_hit_6,sensor_hit_7,sensor_hit_8,sensor_hit_distance_0,sensor_hit_distance_1,sensor_hit_distance_2,sensor_hit_distance_3,sensor_hit_distance_4,sensor_hit_distance_5,sensor_hit_distance_6,sensor_hit_distance_7,sensor_hit_distance_8,velocity
0,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,9.324831963,5.963367462,5.036720753,10,4.664853573,4.20363903,7.1850667,5.760863781,7.545526505
0,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,9.256186485,5.946158886,5.038568497,10,4.675007343,4.19718504,7.150418758,5.797451019,7.545526505
0,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,9.218996048,5.938150406,5.040957928,10,4.678766727,4.192346573,7.132307053,5.815848827,7.653150082
0,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,9.193721771,5.93540287,5.045336246,10,4.67758894,4.186318874,7.120134354,5.824803829,7.653150082
0,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,9.174905777,5.933396816,5.048645973,10,4.676665306,4.181777,7.111097813,5.834393978,7.754674435
0,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,9.151506424,5.931157589,5.05309391,10,4.677330971,4.175769806,7.100007057,5.848241806,7.754674435
0,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,9.130609512,5.92916441,5.057073116,10,4.679358482,4.170406342,7.090106487,5.86060524,7.754674435
0,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,9.107390404,5.927185059,5.061792374,10,4.681373596,4.164118767,7.079240322,5.874175072,7.858130455
0,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,9.077239037,5.92465353,5.067968845,10,4.683949947,4.155900478,7.065150261,5.89177084,7.955050468
0,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,9.047904015,5.922225952,5.074030399,10,4.686415672,4.147846222,7.051468372,5.908858776,7.955050468
-1,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,9.034193039,5.923143387,5.079125881,10,4.685739994,4.141757965,7.046000004,5.915500164,8.047921181
